,pair,freq
131,ciprofloxacin/C0085593,88
132,potassium/C0008031,1035
133,heparin/C0232493,79
134,omeprazole/C0221512,8
135,ciprofloxacin/C0438716,10
136,omeprazole/C0438716,14
137,montelukast/C0438716,4
138,ciprofloxacin/C0234238,402
139,diltiazem/C0438716,3
140,diltiazem/C0232493,3
141,omeprazole/C0030193,495
142,ciprofloxacin/C0239134,645
143,metoprolol/C0030193,3211
144,lisinopril/C0231218,928
145,omeprazole/C0553668,328
146,diltiazem/C0231218,741
147,heparin/C0030193,4089
148,ciprofloxacin/C0231218,1166
149,omeprazole/C0232493,10
150,omeprazole/C0234238,223
151,montelukast/C0239134,77
152,metoprolol/C0000737,563
153,pantoprazole/C0239134,1631
154,metoprolol/C0239134,2127
155,diltiazem/C0008031,91
156,lisinopril/C0008031,271
157,montelukast/C0401151,20
158,montelukast/C0232493,4
159,potassium/C0231218,5794
160,heparin/C0221512,82
161,pantoprazole/C0401151,510
162,diltiazem/C0030193,430
163,montelukast/C0030193,92
164,pantoprazole/C0553668,2004
165,montelukast/C0016204,7
166,metoprolol/C0010200,2130
167,lisinopril/C0010200,483
168,potassium/C0740441,717
169,pantoprazole/C0085593,216
170,ciprofloxacin/C0030193,949
171,lisinopril/C0033774,97
172,lisinopril/C0553668,567
173,omeprazole/C0231218,559
174,diltiazem/C0033774,98
175,diltiazem/C0000737,88
176,omeprazole/C0085593,58
177,diltiazem/C0234238,226
178,ciprofloxacin/C2129214,131
179,montelukast/C0033774,23
180,lisinopril/C0030193,755
181,omeprazole/C0401151,95
182,montelukast/C0740441,20
183,lisinopril/C0401151,92
184,pantoprazole/C0438716,31
185,ciprofloxacin/C0553668,662
186,montelukast/C0000737,19
187,diltiazem/C0016204,38
188,ciprofloxacin/C0008031,138
189,ciprofloxacin/C0232493,29
190,omeprazole/C2129214,27
191,diltiazem/C0239134,376
192,omeprazole/C0016204,21
193,montelukast/C0553668,93
194,metoprolol/C0008031,948
195,metoprolol/C0438716,59
196,pantoprazole/C0030193,2671
197,zolpidem/C0553668,379
198,carvedilol/C0085631,66
199,meropenem/C0039070,39
200,meropenem/C0085631,163
201,pantoprazole/C0158369,15
202,heparin/C0039070,492
203,midazolam/C0039070,138
204,fentanyl/C0039070,196
205,amiodarone/C0231218,1054
206,zolpidem/C0239340,21
207,heparin/C0023380,1059
208,zolpidem/C0039070,44
209,meropenem/C0023380,121
210,heparin/C0239340,147
211,heparin/C0158369,14
212,meropenem/C0231218,461
213,atropine/C0086439,314
214,pantoprazole/C0239340,83
215,midazolam/C0231218,1848
216,meropenem/C0239340,14
217,carvedilol/C0158369,1
218,carvedilol/C0239340,10
219,carvedilol/C0553668,181
220,zolpidem/C0085631,77
221,fentanyl/C0231218,2557
222,meropenem/C0158369,1
223,furosemide/C0085631,1000
224,zolpidem/C0231218,608
225,carvedilol/C0023380,48
226,zolpidem/C0023380,26
227,potassium/C0039070,527
228,pantoprazole/C0085631,868
229,furosemide/C0239340,113
230,zolpidem/C0158369,2
231,pantoprazole/C0039070,308
232,atropine/C2004489,430
233,atropine/C0231218,421
234,meropenem/C0553668,299
235,heparin/C0085631,1523
236,furosemide/C0158369,10
237,furosemide/C0023380,669
238,terbinafine/C0030193,7
239,heparin/C0234215,783
240,oxycodone/C0009806,65
241,metoclopramide/C0016204,92
242,quetiapine/C0030193,205
243,acetaminophen/C0009806,328
244,terbinafine/C0231218,7
245,testosterone/C0016204,1
246,metoprolol/C0184567,694
247,metoclopramide/C0009806,75
248,quetiapine/C0009806,25
249,quetiapine/C0184567,41
250,heparin/C0009806,359
251,oxycodone/C0030193,829
252,metoclopramide/C0234215,212
253,heparin/C0184567,909
254,oxycodone/C0234215,138
255,terbinafine/C0016204,1
256,testosterone/C0030193,6
257,testosterone/C0234215,3
258,clonazepam/C0234215,35
259,quetiapine/C0234215,37
260,hydromorphone/C0009806,94
261,acetaminophen/C0184567,946
262,esmolol/C0009806,11
263,testosterone/C0009806,1
264,testosterone/C0184567,3
265,hydromorphone/C0030193,1825
266,metoclopramide/C0184567,326
267,esmolol/C0030193,96
268,metoprolol/C0016204,233
269,gabapentin/C0231218,457
270,digoxin/C0184567,48
271,esmolol/C0184567,16
272,pantoprazole/C0184567,542
273,testosterone/C0231218,10
274,metoprolol/C0009806,225
275,terbinafine/C0234215,1
276,oxycodone/C0016204,37
277,clonazepam/C0030193,166
278,quetiapine/C0231218,258
279,oxycodone/C0184567,273
280,metoclopramide/C0030193,1299
281,clonazepam/C0016204,11
282,acetaminophen/C0234215,758
283,pantoprazole/C0009806,204
284,loperamide/C0030193,62
285,acetaminophen/C0030193,4155
286,loperamide/C0016204,3
287,metoprolol/C0234215,564
288,oxycodone/C0231218,798
289,clonazepam/C0184567,42
290,esmolol/C0016204,9
291,quetiapine/C0016204,17
292,pantoprazole/C0234215,431
293,gabapentin/C0234215,79
294,loperamide/C0184567,9
295,hydromorphone/C0184567,711
296,pantoprazole/C0016204,200
297,digoxin/C0234215,55
298,loperamide/C0009806,2
299,acetaminophen/C0016204,269
300,clonazepam/C0231218,204
301,metoclopramide/C0231218,1526
302,clonazepam/C0009806,26
303,terbinafine/C0009806,1
304,digoxin/C0009806,21
305,digoxin/C0016204,27
306,digoxin/C0231218,459
307,acetaminophen/C0231218,5146
308,terbinafine/C0184567,2
309,hydromorphone/C0016204,151
310,digoxin/C0030193,280
311,potassium/C0234215,820
312,metoclopramide/C0221170,45
313,famotidine/C0015672,76
314,nimodipine/C0015672,1
315,acetaminophen/C0026821,120
316,phenytoin/C0015672,12
317,famotidine/C0221170,73
318,pantoprazole/C0015672,213
319,famotidine/C0030193,1736
320,potassium/C0221170,194
321,potassium/C0151315,35
322,acetaminophen/C0007859,225
323,phenytoin/C0221170,40
324,metoclopramide/C0007859,36
325,nicardipine/C0151315,4
326,nimodipine/C0221170,6
327,ondansetron/C0030193,1835
328,famotidine/C0026821,42
329,ondansetron/C0151315,17
330,potassium/C0234238,2828
331,potassium/C0026821,143
332,acetaminophen/C0234238,2664
333,ondansetron/C0015672,132
334,metoclopramide/C0042963,352
335,famotidine/C0007859,130
336,nicardipine/C0026821,5
337,nicardipine/C0221170,10
338,acetaminophen/C0221170,196
339,famotidine/C0042963,495
340,metoclopramide/C0026821,29
341,heparin/C0151315,22
342,ondansetron/C0221170,64
343,nimodipine/C0234238,105
344,potassium/C0007859,227
345,heparin/C0042963,1286
346,metoclopramide/C0015672,83
347,acetaminophen/C0015672,339
348,ondansetron/C0042963,919
349,phenytoin/C0030193,508
350,pantoprazole/C0151315,15
351,pantoprazole/C0042963,1050
352,nimodipine/C0030193,64
353,acetaminophen/C0151315,34
354,nicardipine/C0234238,142
355,potassium/C0015672,327
356,heparin/C0007859,210
357,nicardipine/C0042963,53
358,famotidine/C0151315,20
359,nimodipine/C0026821,2
360,phenytoin/C0026821,5
361,heparin/C0221170,174
362,ondansetron/C0007859,109
363,ondansetron/C0234238,938
364,ondansetron/C0026821,94
365,phenytoin/C0151315,8
366,nicardipine/C0030193,164
367,acetaminophen/C0042963,1184
368,metoclopramide/C0234238,967
369,phenytoin/C0234238,446
370,potassium/C0042963,1387
371,heparin/C0015672,341
372,nicardipine/C0015672,3
373,nimodipine/C0042963,22
374,phenytoin/C0042963,133
375,pantoprazole/C0026821,131
376,pantoprazole/C0221170,109
377,pantoprazole/C0234238,1468
378,famotidine/C0234238,1058
379,nimodipine/C0151315,5
380,metoclopramide/C0151315,6
381,potassium/C0344232,176
382,pantoprazole/C0344232,101
383,metoprolol/C0231255,995
384,labetalol/C0231218,602
385,metronidazole/C0231218,1469
386,pantoprazole/C0030552,140
387,phenytoin/C0231218,758
388,metoclopramide/C0231255,252
389,hydralazine/C0234238,734
390,potassium/C0231255,1474
391,labetalol/C0344232,21
392,hydralazine/C0231255,412
393,labetalol/C0234238,321
394,hydralazine/C0231218,1413
395,metronidazole/C0231255,440
396,potassium/C0030552,208
397,lansoprazole/C0231255,234
398,phenytoin/C0231255,358
399,labetalol/C0030552,58
400,hydralazine/C0030552,80
401,hydralazine/C0344232,47
402,labetalol/C0231255,197
403,lansoprazole/C0231218,915
404,pantoprazole/C0026837,190
405,metoprolol/C0015970,399
406,olanzapine/C0010200,328
407,acetaminophen/C2129214,393
408,furosemide/C0010200,2020
409,metronidazole/C0015970,203
410,metronidazole/C0016204,84
411,metronidazole/C0024790,56
412,metoprolol/C0085631,1134
413,metoprolol/C0035508,954
414,furosemide/C0235108,107
415,olanzapine/C2129214,52
416,metronidazole/C0239134,635
417,potassium/C0035508,1395
418,furosemide/C0239134,2014
419,metronidazole/C0234238,595
420,acetaminophen/C0033774,774
421,olanzapine/C0553668,333
422,potassium/C0024790,188
423,olanzapine/C0740441,76
424,metoprolol/C2129214,275
425,pantoprazole/C0235108,138
426,acetaminophen/C0035508,1174
427,acetaminophen/C0239134,2690
428,furosemide/C0035508,1093
429,metoprolol/C0024790,124
430,potassium/C0026837,349
431,furosemide/C0043144,936
432,furosemide/C0024790,136
433,olanzapine/C0234238,163
434,potassium/C0085631,1666
435,pantoprazole/C2129214,316
436,olanzapine/C0239134,327
437,metronidazole/C0035508,354
438,metronidazole/C0085631,337
439,olanzapine/C0035508,185
440,olanzapine/C0231218,488
441,omeprazole/C0015970,41
442,acetaminophen/C0085631,1414
443,furosemide/C2129214,263
444,furosemide/C0016204,190
445,potassium/C0043144,1083
446,metronidazole/C0553668,873
447,furosemide/C0033774,517
448,furosemide/C0020440,112
449,metronidazole/C2129214,193
450,furosemide/C0401151,398
451,furosemide/C0026837,171
452,metronidazole/C0740441,329
453,potassium/C2129214,463
454,furosemide/C0234238,1714
455,pantoprazole/C0024790,122
456,metoprolol/C0234238,1941
457,metronidazole/C0401151,329
458,olanzapine/C0016204,32
459,potassium/C0235108,198
460,pantoprazole/C0035508,782
461,metronidazole/C0010200,638
462,olanzapine/C0401151,76
463,potassium/C0015970,629
464,pantoprazole/C0043144,627
465,acetaminophen/C0401151,603
466,potassium/C0016204,350
467,furosemide/C0740441,398
468,acetaminophen/C0010200,2695
469,olanzapine/C0085631,364
470,furosemide/C0015970,351
471,acetaminophen/C0740441,603
472,olanzapine/C0015970,82
473,olanzapine/C0024790,23
474,lisinopril/C0013395,9
475,heparin/C0004604,687
476,heparin/C0013395,39
477,lisinopril/C2004489,510
478,lisinopril/C0014724,9
479,heparin/C0086439,1975
480,lisinopril/C0009806,55
481,heparin/C0004093,1492
482,lisinopril/C0004093,262
483,lisinopril/C0086439,327
484,lisinopril/C0234238,366
485,lisinopril/C0004604,117
486,heparin/C0014724,51
487,cefepime/C0043144,205
488,fentanyl/C0010200,1424
489,ibuprofen/C0030193,332
490,miconazole/C0030193,422
491,cefepime/C0231218,719
492,oseltamivir/C0010200,106
493,ibuprofen/C0239134,197
494,midazolam/C0042963,460
495,cefepime/C0010520,7
496,fentanyl/C0030193,1958
497,oseltamivir/C0010520,1
498,ceftriaxone/C0042963,206
499,miconazole/C0231218,632
500,miconazole/C0239134,332
501,midazolam/C0043144,435
502,midazolam/C0239134,1006
503,fentanyl/C0043144,547
504,famotidine/C0010200,1190
505,famotidine/C0043144,380
506,oseltamivir/C0043144,46
507,fentanyl/C0239134,1416
508,ceftriaxone/C0030193,563
509,phenylephrine/C0010200,1001
510,famotidine/C0231218,2144
511,ibuprofen/C0043144,62
512,midazolam/C0010200,1011
513,ibuprofen/C0042963,72
514,ceftriaxone/C0043144,166
515,oseltamivir/C0231218,118
516,cefepime/C0239134,501
517,phenylephrine/C0043144,322
518,cefepime/C0042963,184
519,ibuprofen/C0010200,197
520,heparin/C0010520,29
521,famotidine/C0239134,1188
522,oseltamivir/C0030193,72
523,heparin/C0043144,1118
524,oseltamivir/C0239134,105
525,midazolam/C0030193,1338
526,phenylephrine/C0042963,303
527,miconazole/C0010520,5
528,ibuprofen/C0010520,2
529,ceftriaxone/C0010200,451
530,phenylephrine/C0030193,1576
531,phenylephrine/C0231218,1936
532,ceftriaxone/C0239134,447
533,cefepime/C0030193,509
534,heparin/C0239134,2689
535,oseltamivir/C0042963,27
536,famotidine/C0010520,7
537,ceftriaxone/C0010520,2
538,miconazole/C0042963,146
539,fentanyl/C0042963,606
540,acetaminophen/C0043144,946
541,phenylephrine/C0239134,994
542,ceftriaxone/C0231218,829
543,miconazole/C0010200,334
544,midazolam/C0010520,14
545,heparin/C0010200,2694
546,ibuprofen/C0231218,398
547,acetaminophen/C0010520,22
548,fentanyl/C0010520,15
549,phenylephrine/C0010520,6
550,cefepime/C0010200,501
551,miconazole/C0043144,159
552,clopidogrel/C0086439,468
553,atorvastatin/C2004489,1031
554,amiodarone/C0086439,514
555,neostigmine/C0231218,739
556,cisatracurium/C0086439,127
557,trazodone/C0086439,161
558,carvedilol/C0086439,144
559,cisatracurium/C0231218,224
560,nitroglycerin/C0086439,870
561,acetaminophen/C0086439,1872
562,allopurinol/C0086439,119
563,potassium/C0086439,2045
564,glycopyrrolate/C0231218,792
565,fluconazole/C0086439,154
566,ceftriaxone/C2004489,376
567,midazolam/C2004489,908
568,phenylephrine/C0086439,935
569,milrinone/C2004489,251
570,atorvastatin/C0086439,733
571,lorazepam/C0231218,2625
572,metoclopramide/C0086439,747
573,fluconazole/C0231218,441
574,fentanyl/C2004489,1133
575,lansoprazole/C2004489,402
576,sertraline/C0231218,199
577,fentanyl/C0086439,974
578,pantoprazole/C0086439,1284
579,nitroglycerin/C2004489,1494
580,carvedilol/C2004489,169
581,midazolam/C0086439,793
582,carvedilol/C0231218,257
583,milrinone/C0086439,214
584,sertraline/C0086439,78
585,phenylephrine/C2004489,1469
586,glycopyrrolate/C0086439,488
587,ceftriaxone/C0086439,217
588,lansoprazole/C0086439,271
589,furosemide/C0086439,1470
590,potassium/C2004489,3035
591,neostigmine/C0086439,471
592,metoprolol/C0086439,1561
593,clopidogrel/C2004489,574
594,nitroglycerin/C0231218,1555
595,clopidogrel/C0231218,719
596,milrinone/C0231218,231
597,metoclopramide/C2004489,1228
598,sertraline/C2004489,117
599,losartan/C0086439,45
600,metronidazole/C0086439,540
601,trazodone/C2004489,264
602,amiodarone/C2004489,724
603,glycopyrrolate/C2004489,1047
604,atorvastatin/C0231218,1319
605,neostigmine/C2004489,988
606,lorazepam/C0086439,706
607,pantoprazole/C2004489,1845
608,fentanyl/C0234238,1220
609,lansoprazole/C0232695,34
610,potassium/C0004134,842
611,meropenem/C0234238,192
612,furosemide/C0030552,105
613,lansoprazole/C0030193,567
614,potassium/C0023380,1137
615,furosemide/C0030193,2766
616,fentanyl/C0232695,167
617,meropenem/C0232695,46
618,fentanyl/C0030552,91
619,meropenem/C0004134,112
620,midazolam/C0234238,788
621,potassium/C0948786,236
622,potassium/C0232695,281
623,meropenem/C0030193,335
624,heparin/C0004134,667
625,famotidine/C0086439,533
626,furosemide/C0232695,166
627,heparin/C0035508,1392
628,famotidine/C0004134,298
629,fentanyl/C0004134,472
630,metoprolol/C0026837,202
631,meropenem/C0030552,19
632,lansoprazole/C0401151,126
633,lansoprazole/C0239134,482
634,famotidine/C0030552,108
635,furosemide/C0004134,493
636,meropenem/C0740441,103
637,meropenem/C0086439,190
638,fentanyl/C0553668,1452
639,furosemide/C0948786,152
640,heparin/C0026837,332
641,midazolam/C0232695,123
642,heparin/C0232695,215
643,fentanyl/C0085631,976
644,fentanyl/C0035508,832
645,lansoprazole/C0740441,126
646,midazolam/C0030552,69
647,lansoprazole/C0948786,53
648,metoprolol/C0948786,140
649,lansoprazole/C0085631,272
650,lansoprazole/C0035508,309
651,famotidine/C0553668,1016
652,fentanyl/C0401151,312
653,lansoprazole/C0023380,184
654,heparin/C0030552,207
655,fentanyl/C0740441,312
656,meropenem/C0035508,206
657,lansoprazole/C0004134,112
658,lansoprazole/C0553668,578
659,midazolam/C0004134,351
660,heparin/C0401151,736
661,heparin/C0740441,736
662,famotidine/C0232695,85
663,lansoprazole/C0010200,483
664,lansoprazole/C0026837,48
665,midazolam/C0023380,326
666,famotidine/C0023380,450
667,fentanyl/C0023380,499
668,meropenem/C0401151,103
669,lansoprazole/C0234238,486
670,lansoprazole/C0030552,38
671,midazolam/C0553668,1101
672,heparin/C0948786,226
673,metoprolol/C0030552,161
674,hydralazine/C0239134,825
675,nicardipine/C0231218,178
676,potassium/C0205929,3
677,nicardipine/C0239134,109
678,heparin/C0040822,499
679,heparin/C0012833,258
680,potassium/C0004093,1634
681,dexamethasone/C0042571,29
682,dexamethasone/C0012833,25
683,hydralazine/C0012833,73
684,hydralazine/C0205929,1
685,dexamethasone/C0030193,315
686,nicardipine/C0231255,71
687,nicardipine/C0012833,16
688,nicardipine/C0010200,109
689,hydralazine/C0030193,1123
690,potassium/C0012833,276
691,dexamethasone/C0239134,218
692,nicardipine/C0040822,31
693,nicardipine/C0004093,94
694,dexamethasone/C0040822,34
695,dexamethasone/C0231218,452
696,dexamethasone/C0205929,1
697,heparin/C0231255,1444
698,potassium/C0016167,7
699,dexamethasone/C0553668,193
700,hydralazine/C0016167,1
701,dexamethasone/C0010200,219
702,nicardipine/C0042571,14
703,heparin/C0016167,12
704,hydralazine/C0553668,739
705,potassium/C0042571,256
706,nicardipine/C0205929,1
707,nicardipine/C0016167,1
708,dexamethasone/C0016167,3
709,hydralazine/C0010200,828
710,potassium/C0040822,538
711,heparin/C0042571,215
712,dexamethasone/C0004093,170
713,hydralazine/C0004093,520
714,hydralazine/C0040822,154
715,heparin/C0205929,4
716,nicardipine/C0553668,56
717,hydralazine/C0042571,71
718,metoclopramide/C0002962,218
719,cefazolin/C2004489,562
720,acetaminophen/C0002962,417
721,potassium/C0002962,404
722,furosemide/C0002962,353
723,diltiazem/C0002962,31
724,tramadol/C0002962,43
725,metoprolol/C0002962,433
726,cefazolin/C0002962,71
727,atorvastatin/C0002962,221
728,clopidogrel/C0184567,96
729,digoxin/C0235848,5
730,buspirone/C0016204,2
731,venlafaxine/C0039070,5
732,buspirone/C0553668,14
733,clopidogrel/C0401151,67
734,glipizide/C0013395,1
735,venlafaxine/C0234238,46
736,tramadol/C0013395,1
737,ondansetron/C0039070,162
738,diazepam/C0039070,33
739,phenylephrine/C0015468,14
740,ondansetron/C0027497,1023
741,tramadol/C0043144,60
742,tramadol/C0039070,23
743,heparin/C0235848,67
744,tramadol/C0027497,116
745,clopidogrel/C0234238,343
746,tramadol/C2004489,118
747,clindamycin/C0043144,37
748,captopril/C0231218,526
749,clindamycin/C0013395,2
750,glipizide/C0740441,9
751,acetaminophen/C0014724,52
752,venlafaxine/C0016204,7
753,temazepam/C0016204,2
754,buspirone/C0043144,4
755,pantoprazole/C0014724,24
756,digoxin/C0035508,105
757,diazepam/C0086439,85
758,buspirone/C0234238,9
759,ondansetron/C0035508,417
760,heparin/C0015468,36
761,temazepam/C0039070,2
762,temazepam/C0043144,4
763,digoxin/C0027497,71
764,buspirone/C0013395,1
765,clopidogrel/C0014724,11
766,furosemide/C0037011,96
767,diazepam/C0553668,235
768,acetaminophen/C0235848,66
769,fexofenadine/C0012833,13
770,acetaminophen/C0037011,176
771,pantoprazole/C0085624,53
772,venlafaxine/C0027497,27
773,temazepam/C0030193,17
774,clindamycin/C0231218,299
775,temazepam/C0027497,3
776,diazepam/C0231218,466
777,venlafaxine/C0015468,1
778,tramadol/C0015468,2
779,tramadol/C0035508,70
780,diazepam/C0043144,81
781,buspirone/C0085624,1
782,venlafaxine/C0013395,1
783,captopril/C0035508,114
784,atorvastatin/C0034642,328
785,captopril/C0234238,224
786,fexofenadine/C0740441,15
787,ondansetron/C0184567,469
788,glipizide/C0184567,13
789,clopidogrel/C0037011,28
790,fexofenadine/C0184567,19
791,clopidogrel/C0027497,178
792,glipizide/C0039070,10
793,heparin/C0085624,90
794,phenylephrine/C0740441,132
795,clopidogrel/C0016204,29
796,buspirone/C0037011,1
797,clindamycin/C0401151,25
798,metoprolol/C0027497,860
799,heparin/C0700590,182
800,acetaminophen/C0013395,27
801,venlafaxine/C0014724,4
802,digoxin/C0013395,1
803,temazepam/C2004489,12
804,captopril/C0184567,41
805,clopidogrel/C0012833,37
806,tramadol/C0086439,102
807,ondansetron/C0012833,157
808,atorvastatin/C0030193,1124
809,digoxin/C0401151,60
810,clindamycin/C0700590,3
811,tramadol/C0553668,185
812,captopril/C0553668,387
813,buspirone/C0235848,2
814,diazepam/C0740441,75
815,pantoprazole/C0235848,38
816,glipizide/C0034642,16
817,buspirone/C2004489,13
818,diazepam/C0027497,147
819,buspirone/C0030193,19
820,glipizide/C0401151,9
821,captopril/C0037011,11
822,fexofenadine/C0030193,90
823,buspirone/C0700590,1
824,atorvastatin/C0039070,132
825,ondansetron/C0034642,415
826,venlafaxine/C0034642,23
827,atorvastatin/C0015468,5
828,tramadol/C0016204,32
829,venlafaxine/C0235848,5
830,buspirone/C0027497,13
831,metoprolol/C0014724,45
832,furosemide/C0012833,149
833,atorvastatin/C0035508,305
834,captopril/C0015468,4
835,clopidogrel/C0235848,11
836,diazepam/C0037011,16
837,venlafaxine/C2004489,51
838,venlafaxine/C0086439,38
839,venlafaxine/C0231218,103
840,ondansetron/C0014724,35
841,buspirone/C0740441,3
842,fexofenadine/C0043144,25
843,diazepam/C0401151,75
844,metoprolol/C0043144,790
845,ondansetron/C0231218,2028
846,temazepam/C0035508,5
847,phenylephrine/C0012833,57
848,temazepam/C0015468,1
849,venlafaxine/C0037011,3
850,clindamycin/C0037011,8
851,atorvastatin/C0013395,15
852,metoprolol/C0012833,178
853,temazepam/C0231218,22
854,temazepam/C0740441,2
855,phenylephrine/C0235848,28
856,ondansetron/C0043144,355
857,atorvastatin/C0037011,44
858,glipizide/C0231218,74
859,furosemide/C0015468,15
860,ondansetron/C0016204,130
861,fexofenadine/C0231218,100
862,digoxin/C0740441,60
863,venlafaxine/C0740441,14
864,metoprolol/C0085624,70
865,acetaminophen/C0085624,90
866,captopril/C0740441,38
867,buspirone/C0184567,3
868,digoxin/C0039070,38
869,clindamycin/C0034642,33
870,diazepam/C0034642,58
871,captopril/C0034642,114
872,atorvastatin/C0553668,798
873,tramadol/C0014724,10
874,tramadol/C0740441,37
875,tramadol/C0234238,175
876,heparin/C0027497,1254
877,temazepam/C0401151,2
878,atorvastatin/C0016204,68
879,captopril/C0016204,18
880,clopidogrel/C0043144,146
881,phenylephrine/C0039070,120
882,diazepam/C2004489,113
883,digoxin/C0086439,180
884,furosemide/C0027497,688
885,digoxin/C2004489,286
886,clindamycin/C0085624,2
887,atorvastatin/C0043144,277
888,acetaminophen/C0039070,494
889,captopril/C0013395,2
890,tramadol/C0231218,343
891,ondansetron/C0015468,17
892,metoprolol/C0700590,141
893,buspirone/C0086439,5
894,atorvastatin/C0184567,193
895,digoxin/C0015468,1
896,buspirone/C0012833,2
897,fexofenadine/C0553668,77
898,glipizide/C0043144,15
899,pantoprazole/C0700590,77
900,furosemide/C0235848,37
901,glipizide/C0030193,65
902,glipizide/C0085624,1
903,fexofenadine/C0015468,1
904,tramadol/C0401151,37
905,clindamycin/C0015468,2
906,temazepam/C0013395,1
907,temazepam/C0012833,1
908,furosemide/C0014724,33
909,digoxin/C0014724,5
910,digoxin/C0234238,152
911,phenylephrine/C0035508,438
912,amiodarone/C0039070,90
913,tramadol/C0700590,10
914,buspirone/C0015468,1
915,ondansetron/C0553668,1071
916,diazepam/C0013395,3
917,diazepam/C0035508,107
918,atorvastatin/C0700590,60
919,atorvastatin/C0012833,71
920,captopril/C0039070,28
921,clindamycin/C0039070,27
922,captopril/C0085624,5
923,clopidogrel/C0035508,159
924,captopril/C0401151,38
925,metoprolol/C0015468,24
926,pantoprazole/C0015468,15
927,acetaminophen/C0027497,1188
928,fexofenadine/C2004489,42
929,fexofenadine/C0037011,7
930,diazepam/C0184567,103
931,clopidogrel/C0015468,5
932,tramadol/C0184567,110
933,glipizide/C0012833,3
934,diazepam/C0015468,5
