,unex_pair,freq
119,potassium/C0030193,1621
120,phenytoin/C0030193,202
121,metoclopramide/C0030193,636
122,famotidine/C0007859,56
123,nimodipine/C0030193,30
124,acetaminophen/C0030193,1537
125,famotidine/C0030193,498
126,heparin/C0007859,100
127,acetaminophen/C0007859,118
128,pantoprazole/C0740441,234
129,pantoprazole/C0033774,334
130,furosemide/C0234238,729
131,potassium/C0024790,111
132,pantoprazole/C0024790,81
133,potassium/C0010200,1574
134,metoprolol/C0234238,895
135,acetaminophen/C2129214,303
136,olanzapine/C0016204,22
137,furosemide/C0010200,797
138,potassium/C0740441,325
139,furosemide/C0553668,799
140,metronidazole/C0024790,30
141,metronidazole/C0016204,60
142,potassium/C0234238,1556
143,acetaminophen/C0239134,1433
144,potassium/C0033774,550
145,metronidazole/C0010200,270
146,metoprolol/C0016204,152
147,furosemide/C0235108,67
148,furosemide/C2129214,167
149,furosemide/C0016204,122
150,potassium/C0015970,324
151,pantoprazole/C0010200,812
152,metronidazole/C0553668,273
153,furosemide/C0033774,266
154,potassium/C0553668,1276
155,acetaminophen/C0401151,303
156,metoprolol/C0024790,78
157,potassium/C0016204,232
158,furosemide/C0740441,181
159,furosemide/C0085631,425
160,acetaminophen/C0015970,345
161,acetaminophen/C0010200,1433
162,furosemide/C0015970,149
163,pantoprazole/C0015970,152
164,pantoprazole/C0401151,234
165,metronidazole/C2129214,117
166,metronidazole/C0239134,270
167,pantoprazole/C0239134,814
168,furosemide/C0043144,381
169,potassium/C0401151,325
170,acetaminophen/C0740441,303
171,furosemide/C0401151,181
172,furosemide/C0024790,73
173,furosemide/C0026837,73
174,pantoprazole/C0016204,132
175,olanzapine/C0234238,66
176,potassium/C0239134,1574
177,furosemide/C0239134,797
178,olanzapine/C0024790,13
179,metronidazole/C0234238,286
180,pantoprazole/C0234238,741
181,acetaminophen/C0553668,1259
182,heparin/C0009806,212
183,heparin/C0086439,973
184,lisinopril/C0009806,21
185,lisinopril/C0086439,114
186,fentanyl/C0010200,719
187,miconazole/C0030193,165
188,oseltamivir/C0010200,17
189,miconazole/C0231218,204
190,fentanyl/C0030193,655
191,oseltamivir/C0010520,1
192,miconazole/C0239134,166
193,midazolam/C0239134,464
194,famotidine/C0010200,572
195,fentanyl/C0239134,718
196,famotidine/C0231218,722
197,midazolam/C0010200,465
198,midazolam/C0231218,504
199,oseltamivir/C0231218,26
200,heparin/C0010520,20
201,famotidine/C0239134,573
202,oseltamivir/C0030193,19
203,fentanyl/C0231218,826
204,oseltamivir/C0239134,17
205,midazolam/C0030193,406
206,heparin/C0030193,1292
207,miconazole/C0010520,4
208,heparin/C0239134,1284
209,famotidine/C0010520,4
210,miconazole/C0010200,166
211,midazolam/C0010520,4
212,heparin/C0010200,1282
213,acetaminophen/C0010520,12
214,fentanyl/C0010520,7
215,clopidogrel/C0231218,279
216,lorazepam/C0231218,744
217,metoclopramide/C2004489,150
218,furosemide/C0086439,554
219,potassium/C2004489,945
220,atorvastatin/C0231218,500
221,clopidogrel/C2004489,217
222,metoprolol/C0740441,184
223,lansoprazole/C0401151,68
224,meropenem/C0035508,118
225,lansoprazole/C0239134,200
226,potassium/C0948786,142
227,metoprolol/C0010200,920
228,heparin/C0401151,378
229,meropenem/C0740441,56
230,metoprolol/C0085631,525
231,heparin/C0740441,378
232,lansoprazole/C0010200,199
233,metoprolol/C0035508,526
234,furosemide/C0948786,86
235,heparin/C0026837,164
236,furosemide/C0035508,517
237,lansoprazole/C0026837,27
238,metoprolol/C0030193,961
239,lansoprazole/C0740441,68
240,furosemide/C0030193,745
241,metoprolol/C0401151,184
242,metoprolol/C0948786,83
243,lansoprazole/C0948786,31
244,lansoprazole/C0085631,120
245,lansoprazole/C0035508,158
246,heparin/C0035508,854
247,potassium/C0026837,151
248,meropenem/C0401151,56
249,metoprolol/C0239134,923
250,metoprolol/C0026837,102
251,potassium/C0085631,802
252,potassium/C0035508,772
253,heparin/C0948786,149
254,nicardipine/C0042571,7
255,nicardipine/C0231255,20
256,nicardipine/C0012833,8
257,dexamethasone/C0205929,1
258,hydralazine/C0042571,26
259,hydralazine/C0016167,1
260,potassium/C0012833,103
261,potassium/C0042571,98
262,potassium/C0016167,5
263,potassium/C0205929,3
264,nicardipine/C0205929,1
265,potassium/C0231255,504
266,nicardipine/C0016167,1
267,dexamethasone/C0016167,1
268,hydralazine/C0205929,1
269,hydralazine/C0012833,21
270,hydralazine/C0231255,146
271,dexamethasone/C0042571,11
272,dexamethasone/C0012833,6
273,metoclopramide/C0002962,142
274,acetaminophen/C0002962,243
275,potassium/C0002962,217
276,furosemide/C0002962,138
277,diltiazem/C0002962,13
278,metoprolol/C0002962,180
279,cefazolin/C0002962,45
280,atorvastatin/C0002962,98
281,buspirone/C0014724,1
282,metoprolol/C0700590,69
283,buspirone/C0086439,3
284,heparin/C0034642,702
285,buspirone/C0016204,2
286,buspirone/C2004489,6
287,heparin/C0013395,22
288,ondansetron/C0700590,27
289,pantoprazole/C0700590,36
290,venlafaxine/C0234238,25
291,tramadol/C0013395,1
292,buspirone/C0700590,1
293,heparin/C0016204,210
294,furosemide/C0013395,10
295,ondansetron/C0034642,225
296,venlafaxine/C0034642,12
297,tramadol/C0027497,28
298,clopidogrel/C0234238,183
299,atorvastatin/C0085624,11
300,tramadol/C2004489,39
301,tramadol/C0016204,18
302,heparin/C0234238,1139
303,pantoprazole/C0027497,365
304,digoxin/C0700590,5
305,acetaminophen/C0014724,42
306,temazepam/C0013395,1
307,venlafaxine/C0016204,3
308,furosemide/C0014724,17
309,temazepam/C0016204,1
310,pantoprazole/C0014724,19
311,acetaminophen/C0086439,895
312,buspirone/C0027497,5
313,acetaminophen/C0700590,88
314,digoxin/C0014724,3
315,atorvastatin/C0086439,323
316,digoxin/C0234238,85
317,buspirone/C0234238,2
318,captopril/C0700590,8
319,tramadol/C0700590,6
320,atorvastatin/C0234238,348
321,atorvastatin/C0700590,28
322,venlafaxine/C2004489,20
323,venlafaxine/C0086439,15
324,venlafaxine/C0231218,41
325,digoxin/C0027497,30
326,buspirone/C0013395,1
327,clopidogrel/C0014724,6
328,clopidogrel/C0013395,6
329,acetaminophen/C0027497,618
330,pantoprazole/C0085624,31
331,venlafaxine/C0027497,12
332,atorvastatin/C0013395,9
333,temazepam/C0231218,5
334,clopidogrel/C0034642,106
335,digoxin/C0085624,5
336,temazepam/C0027497,2
337,tramadol/C0085624,3
338,pantoprazole/C0086439,679
339,heparin/C0014724,34
340,buspirone/C0085624,1
341,venlafaxine/C0013395,1
342,acetaminophen/C0085624,48
343,acetaminophen/C0016204,198
344,atorvastatin/C0014724,7
345,digoxin/C0016204,20
346,temazepam/C0700590,1
347,temazepam/C0014724,1
348,pantoprazole/C2004489,938
349,atorvastatin/C0034642,203
350,venlafaxine/C0700590,7
351,clopidogrel/C0086439,199
352,temazepam/C0085624,1
353,atorvastatin/C2004489,416
354,tramadol/C0034642,29
355,captopril/C0234238,98
356,diazepam/C0034642,29
357,captopril/C0034642,50
358,pantoprazole/C0034642,426
359,tramadol/C0014724,7
360,atorvastatin/C0027497,140
361,clopidogrel/C0027497,74
362,diazepam/C0700590,17
363,tramadol/C0234238,62
364,heparin/C0027497,528
365,atorvastatin/C0016204,49
366,pantoprazole/C0013395,12
367,clopidogrel/C0085624,8
368,clopidogrel/C0700590,20
369,acetaminophen/C0234238,1554
370,heparin/C0085624,45
371,acetaminophen/C0034642,655
372,clopidogrel/C0016204,22
373,digoxin/C0086439,70
374,furosemide/C0027497,226
375,digoxin/C2004489,107
376,diazepam/C0234238,75
377,heparin/C0700590,95
378,acetaminophen/C0013395,13
379,venlafaxine/C0014724,3
380,temazepam/C0086439,6
381,temazepam/C0234238,7
382,digoxin/C0013395,1
383,temazepam/C2004489,6
384,ondansetron/C0234238,398
385,buspirone/C0231218,12
386,tramadol/C0086439,36
387,temazepam/C0034642,2
388,venlafaxine/C0085624,1
389,tramadol/C0231218,65
390,buspirone/C0034642,4
391,furosemide/C0085624,20
392,pimozide/C0035508,1
393,duloxetine/C0009806,4
394,ondansetron/C2129214,134
395,metronidazole/C0231874,8
396,acetaminophen/C0009806,197
397,tiotropium/C0043144,23
398,midodrine/C0085631,19
399,sevelamer/C0553668,36
400,fluticasone/C0553668,99
401,duloxetine/C0043144,10
402,fluticasone/C0013132,1
403,ciprofloxacin/C0023380,124
404,ciprofloxacin/C0043144,113
405,montelukast/C2129214,5
406,midodrine/C0020440,7
407,acetaminophen/C0476273,401
408,doxepin/C0850149,1
409,heparin/C0476273,470
410,montelukast/C0020440,2
411,lorazepam/C0013132,8
412,duloxetine/C0035508,11
413,duloxetine/C0231874,2
414,heparin/C0231874,53
415,clonazepam/C0043144,18
416,sevelamer/C0850149,6
417,tiotropium/C0850149,9
418,montelukast/C0856054,1
419,trazodone/C0850149,25
420,midodrine/C0476273,21
421,ondansetron/C0232498,35
422,pimozide/C0850149,1
423,doxepin/C0035508,1
424,ondansetron/C0013132,4
425,duloxetine/C0850149,6
426,heparin/C2129214,348
427,montelukast/C0476273,11
428,pimozide/C0231874,1
429,acetaminophen/C0023380,596
430,acetaminophen/C0856054,145
431,sevelamer/C0231874,4
432,heparin/C0856054,150
433,acetaminophen/C0035508,711
434,ciprofloxacin/C0231874,14
435,trazodone/C0009806,19
436,midodrine/C0553668,33
437,pantoprazole/C0856054,94
438,midodrine/C2129214,22
439,heparin/C0013132,26
440,doxepin/C0009806,1
441,ondansetron/C0553668,417
442,sevelamer/C0043144,15
443,pantoprazole/C0476273,260
444,fluticasone/C0020440,16
445,doxepin/C0043144,2
446,ondansetron/C0856054,44
447,midodrine/C0009806,3
448,midodrine/C0013132,1
449,acyclovir/C0231218,95
450,sevelamer/C0085631,27
451,tiotropium/C0231874,2
452,tiotropium/C0035508,26
453,pantoprazole/C2129214,225
454,midodrine/C0023380,29
455,metronidazole/C0035508,175
456,fluticasone/C0856054,10
457,metronidazole/C0085631,151
458,acyclovir/C0020440,4
459,midodrine/C0043144,18
460,ondansetron/C0476273,126
461,clonazepam/C0231874,2
462,ciprofloxacin/C0009806,27
463,fluticasone/C2129214,23
464,trazodone/C2129214,40
465,acetaminophen/C0085631,771
466,midodrine/C0231874,4
467,heparin/C0020440,89
468,acyclovir/C0013132,2
469,tiotropium/C0023380,14
470,pantoprazole/C0013132,10
471,metronidazole/C0009806,25
472,heparin/C0043144,614
473,sevelamer/C0476273,14
474,ciprofloxacin/C0232498,10
475,trazodone/C0035508,46
476,midodrine/C0035508,30
477,clonazepam/C0035508,17
478,haloperidol/C2129214,53
479,sevelamer/C0035508,25
480,sevelamer/C0856054,7
481,pantoprazole/C0009806,107
482,ciprofloxacin/C0085631,156
483,trazodone/C0043144,38
484,pimozide/C0009806,1
485,ciprofloxacin/C0850149,31
486,sevelamer/C0013132,2
487,pimozide/C0043144,1
488,metronidazole/C0023380,87
489,pantoprazole/C0020440,41
490,pimozide/C0085631,1
491,metronidazole/C0850149,35
492,fluticasone/C0476273,35
493,clonazepam/C0850149,8
494,heparin/C0850149,255
495,haloperidol/C0856054,46
496,haloperidol/C0553668,176
497,pantoprazole/C0850149,156
498,pimozide/C0023380,1
499,pantoprazole/C0035508,470
500,doxepin/C0231874,1
501,ciprofloxacin/C0035508,189
502,trazodone/C0231874,3
503,midodrine/C0856054,4
504,tiotropium/C0009806,6
505,pantoprazole/C0231874,20
506,pantoprazole/C0043144,346
507,acetaminophen/C0231874,44
508,ondansetron/C0085631,240
509,acetaminophen/C0850149,272
510,ondansetron/C0023380,197
511,acetaminophen/C0043144,538
512,sevelamer/C2129214,15
513,tiotropium/C0085631,19
514,montelukast/C0013132,1
515,sevelamer/C0009806,10
516,midodrine/C0850149,9
517,ondansetron/C0020440,23
518,clonazepam/C0009806,13
519,acetaminophen/C0232498,41
520,haloperidol/C0476273,67
521,sevelamer/C0023380,34
522,metronidazole/C0043144,128
523,acetaminophen/C0853891,57
524,ondansetron/C0423281,16
525,acetaminophen/C0423281,57
526,furosemide/C0858219,35
527,furosemide/C1619733,35
528,ondansetron/C0853891,16
529,ondansetron/C0401151,149
530,ondansetron/C0085593,44
531,ondansetron/C0858219,16
532,tiotropium/C0231218,53
533,ondansetron/C1619733,16
534,furosemide/C0853891,35
535,furosemide/C0423281,35
536,tiotropium/C0086439,27
537,acetaminophen/C0858219,57
538,acetaminophen/C1619733,57
539,ondansetron/C0740441,149
540,furosemide/C0085593,41
541,acetaminophen/C0085593,117
542,ondansetron/C0231218,662
543,citalopram/C0086439,57
544,timolol/C0086439,16
545,doxazosin/C0086439,6
546,zolpidem/C0086439,119
547,lorazepam/C0086439,318
548,carvedilol/C0086439,53
549,allopurinol/C0033774,21
550,heparin/C0232849,6
551,lorazepam/C0004093,265
552,oxybutynin/C0033774,4
553,ondansetron/C0016382,98
554,lorazepam/C0232849,3
555,ondansetron/C0033774,166
556,loperamide/C2004489,18
557,ondansetron/C0004093,243
558,cyclophosphamide/C0004093,2
559,cyclophosphamide/C0426390,1
560,lorazepam/C2129214,109
561,heparin/C0030232,212
562,famotidine/C0232849,2
563,heparin/C0004093,774
564,cyclophosphamide/C0033774,2
565,cyclophosphamide/C0231218,7
566,potassium/C0004093,883
567,lorazepam/C0033774,176
568,heparin/C0426390,11
569,famotidine/C0085631,379
570,famotidine/C0033774,215
571,potassium/C0030232,200
572,lorazepam/C0016382,109
573,ondansetron/C0030232,62
574,heparin/C0016382,302
575,heparin/C0033774,539
576,ondansetron/C0232849,4
577,cyclophosphamide/C0232849,1
578,lorazepam/C0085631,311
579,allopurinol/C0085631,41
580,cyclophosphamide/C0030232,1
581,doxorubicin/C2129214,1
582,dexamethasone/C0426390,3
583,allopurinol/C0030232,3
584,lorazepam/C0426390,7
585,dexamethasone/C0085631,44
586,dexamethasone/C0231218,137
587,famotidine/C0016382,128
588,dexamethasone/C0030232,4
589,famotidine/C0426390,4
590,cyclophosphamide/C0016382,2
591,allopurinol/C0232849,1
592,allopurinol/C0426390,1
593,vincristine/C2129214,1
594,allopurinol/C0004093,36
595,allopurinol/C0016382,18
596,lorazepam/C2004489,450
597,famotidine/C0004093,347
598,dexamethasone/C0232849,2
599,dexamethasone/C0016382,15
600,potassium/C0426390,9
601,allopurinol/C2129214,24
602,famotidine/C0030232,79
603,lorazepam/C0030232,71
604,potassium/C0232849,3
605,ondansetron/C0426390,6
606,famotidine/C2129214,113
607,potassium/C2129214,307
608,cyclophosphamide/C0085631,2
609,dexamethasone/C0004093,60
610,potassium/C0016382,285
611,dexamethasone/C0033774,31
612,linezolid/C2004489,48
613,atorvastatin/C0235744,4
614,amiodarone/C0235744,3
615,lansoprazole/C0004093,130
616,propranolol/C0010200,5
617,amantadine/C0085631,2
618,amantadine/C0026837,1
619,fluconazole/C0239134,103
620,fluconazole/C0010200,103
621,oxycodone/C0026837,20
622,oxycodone/C0030193,139
623,lansoprazole/C0221170,24
624,fluconazole/C0041834,47
625,acetaminophen/C0004093,792
626,propranolol/C0041834,1
627,meropenem/C0030193,116
628,propranolol/C0030193,13
629,meropenem/C0004093,88
630,amantadine/C0239134,2
631,propranolol/C0026837,1
632,amantadine/C0553668,2
633,meropenem/C0221170,12
634,acetaminophen/C0221170,135
635,fluconazole/C0231218,147
636,propranolol/C0221170,2
637,propranolol/C0035508,4
638,amantadine/C0010200,2
639,propranolol/C0231218,17
640,lansoprazole/C0030193,230
641,oxycodone/C0004093,90
642,meropenem/C0700590,11
643,oxycodone/C0035508,87
644,amantadine/C0035508,1
645,oxycodone/C0221170,15
646,meropenem/C0026837,17
647,meropenem/C0239134,121
648,amantadine/C0700590,1
649,metoprolol/C0553668,929
650,propranolol/C0004093,7
651,propranolol/C0239134,5
652,amantadine/C0004093,1
653,amantadine/C0030193,5
654,meropenem/C0010200,121
655,amantadine/C0221170,1
656,acetaminophen/C0026837,163
657,famotidine/C0015672,34
658,metoprolol/C0015970,213
659,lansoprazole/C0024790,26
660,haloperidol/C0231875,34
661,fentanyl/C0234238,613
662,cefepime/C0035508,146
663,famotidine/C0231875,70
664,famotidine/C0043144,228
665,midazolam/C0015970,167
666,metronidazole/C0015970,72
667,cefepime/C0024790,20
668,cefepime/C0015970,39
669,midazolam/C0086439,325
670,acetaminophen/C0015672,161
671,famotidine/C0040822,114
672,clopidogrel/C0015970,31
673,cefepime/C0086439,103
674,atorvastatin/C0015672,37
675,acetaminophen/C0040822,264
676,midazolam/C0234238,362
677,miconazole/C0850149,36
678,miconazole/C0043144,93
679,cefepime/C0043144,93
680,cefepime/C0231218,200
681,clopidogrel/C0030193,194
682,metronidazole/C0015672,29
683,simvastatin/C0085631,162
684,miconazole/C0015970,60
685,acetaminophen/C0024790,113
686,cefepime/C0231875,23
687,fentanyl/C0034642,291
688,midazolam/C0034642,209
689,atorvastatin/C0035508,191
690,fentanyl/C0086439,463
691,miconazole/C0231875,27
692,ciprofloxacin/C0015970,56
693,atorvastatin/C0024790,31
694,ciprofloxacin/C0024790,30
695,potassium/C0034642,634
696,haloperidol/C0850149,38
697,metronidazole/C0231875,31
698,midazolam/C0040822,102
699,lorazepam/C0034642,204
700,famotidine/C0850149,70
701,atorvastatin/C0850149,66
702,clopidogrel/C0035508,96
703,clopidogrel/C0040822,29
704,metoprolol/C0043144,412
705,ciprofloxacin/C0086439,153
706,midazolam/C0035508,375
707,atorvastatin/C0015970,60
708,metoprolol/C0040822,167
709,heparin/C0040822,263
710,trazodone/C0231875,11
711,metoprolol/C0034642,467
712,ciprofloxacin/C0234238,188
713,midazolam/C0085631,357
714,fentanyl/C0085631,511
715,fentanyl/C0035508,526
716,haloperidol/C0043144,82
717,cefepime/C0850149,41
718,clopidogrel/C0085631,96
719,diazepam/C0040822,38
720,famotidine/C0553668,425
721,ciprofloxacin/C0231218,320
722,trazodone/C0015672,18
723,cefepime/C0085631,115
724,acetaminophen/C0231875,178
725,miconazole/C0553668,167
726,clopidogrel/C0015672,21
727,fentanyl/C0040822,153
728,fentanyl/C0015970,248
729,heparin/C0015672,158
730,potassium/C0040822,298
731,lansoprazole/C0015970,57
732,trazodone/C0553668,79
733,clopidogrel/C0231875,28
734,famotidine/C0035508,332
735,miconazole/C0015672,22
736,atorvastatin/C0553668,317
737,cefepime/C0015672,23
738,heparin/C0015970,319
739,lorazepam/C0040822,109
740,clopidogrel/C0043144,82
741,midazolam/C0024790,52
742,clopidogrel/C0850149,35
743,atorvastatin/C0231875,58
744,haloperidol/C0015672,14
745,famotidine/C0034642,199
746,heparin/C0024790,144
747,clopidogrel/C0553668,181
748,simvastatin/C0086439,186
749,atorvastatin/C0043144,167
750,cefepime/C0234238,113
751,heparin/C0231875,188
752,simvastatin/C0234238,286
753,metoprolol/C0231875,135
754,metoprolol/C0015672,90
755,eptifibatide/C0030193,22
756,atorvastatin/C0040822,56
757,metronidazole/C0030193,270
758,metoprolol/C0850149,159
759,atorvastatin/C0030193,368
760,fentanyl/C0024790,72
761,clopidogrel/C0024790,25
762,fentanyl/C0030232,140
763,ropinirole/C0234215,6
764,simvastatin/C0234215,115
765,ropinirole/C1112182,1
766,meropenem/C2004489,104
767,tobramycin/C0086439,12
768,lansoprazole/C0030232,54
769,metoprolol/C0393593,3
770,potassium/C0235848,32
771,fondaparinux/C0030232,3
772,acetaminophen/C0233763,47
773,ropinirole/C0043144,6
774,simvastatin/C0040822,58
775,miconazole/C0233763,6
776,fondaparinux/C0004093,5
777,ropinirole/C0239134,10
778,tobramycin/C2004489,16
779,lansoprazole/C0043144,90
780,miconazole/C0086439,101
781,midazolam/C0234215,142
782,acetaminophen/C0221232,205
783,miconazole/C0221232,20
784,fluconazole/C0040822,22
785,fondaparinux/C0035508,4
786,lorazepam/C0700590,37
787,fondaparinux/C1112182,1
788,fondaparinux/C0239134,5
789,acetaminophen/C0393593,4
790,simvastatin/C0035508,154
791,metoclopramide/C0553668,400
792,ropinirole/C0015970,3
793,acetaminophen/C0235848,48
794,lansoprazole/C0700590,12
795,lorazepam/C1112182,1
796,miconazole/C0242429,6
797,miconazole/C2004489,161
798,simvastatin/C0004093,179
799,miconazole/C0234369,13
800,fondaparinux/C0700590,2
801,omeprazole/C0234238,78
802,furosemide/C0004093,443
803,meropenem/C0015644,14
804,tobramycin/C0010200,22
805,potassium/C0184567,582
806,lansoprazole/C0019825,9
807,metoprolol/C0015644,60
808,phenylephrine/C0234215,151
809,lansoprazole/C0234215,93
810,tobramycin/C0085631,10
811,lansoprazole/C0221232,19
812,ropinirole/C0231218,9
813,ropinirole/C0234238,7
814,lorazepam/C0231875,63
815,metronidazole/C0234369,6
816,potassium/C0476273,366
817,phenylephrine/C0242429,17
818,meropenem/C0040822,27
819,meropenem/C1704212,5
820,scopolamine/C0234238,10
821,acetaminophen/C0019825,37
822,pantoprazole/C0235848,21
823,fondaparinux/C0086439,5
824,metoclopramide/C0233763,9
825,fentanyl/C0004093,381
826,fondaparinux/C0231218,5
827,midazolam/C2004489,296
828,lansoprazole/C0040822,43
829,miconazole/C0035508,126
830,fluconazole/C0085631,60
831,miconazole/C0023380,82
832,ropinirole/C0242429,1
833,miconazole/C0004093,119
834,fentanyl/C0233763,17
835,ropinirole/C0234369,1
836,meropenem/C0030232,42
837,heparin/C0234369,46
838,ropinirole/C0030232,2
839,phenylephrine/C0234369,7
840,fondaparinux/C0030193,6
841,lansoprazole/C0184567,49
842,simvastatin/C1112182,1
843,fentanyl/C0184567,276
844,fondaparinux/C0234238,3
845,metoclopramide/C0004093,275
846,simvastatin/C0015970,42
847,simvastatin/C0184567,103
848,ropinirole/C1704212,1
849,hydromorphone/C0221232,84
850,furosemide/C0233763,19
851,metronidazole/C0242429,9
852,fluconazole/C0221232,21
853,potassium/C0043144,553
854,simvastatin/C0231875,42
855,hydromorphone/C0033774,150
856,lansoprazole/C0231875,26
857,simvastatin/C0030193,354
858,heparin/C1704212,36
859,simvastatin/C0033774,104
860,simvastatin/C0234369,5
861,miconazole/C0040822,30
862,lansoprazole/C0553668,200
863,lansoprazole/C0033774,89
864,hydromorphone/C0085631,210
865,fondaparinux/C0023380,2
866,ropinirole/C0086439,7
867,omeprazole/C0231218,144
868,midazolam/C0030232,85
869,sevelamer/C0234369,2
870,acetaminophen/C0234369,45
871,metronidazole/C0234215,111
872,lorazepam/C0024790,43
873,miconazole/C0234238,160
874,miconazole/C0700590,11
875,lansoprazole/C0015644,16
876,lorazepam/C0553668,466
877,meropenem/C0234369,3
878,simvastatin/C0700590,22
879,fondaparinux/C0024790,1
880,meropenem/C0015970,42
881,fondaparinux/C2004489,5
882,acetaminophen/C0184567,527
883,meropenem/C0231218,150
884,metoclopramide/C0086439,234
885,fentanyl/C2004489,434
886,fluconazole/C0234369,4
887,potassium/C0023380,602
888,atorvastatin/C0023380,126
889,furosemide/C0700590,34
890,fondaparinux/C0010200,5
891,simvastatin/C0242429,17
892,midazolam/C0004093,215
893,sevelamer/C0033774,24
894,miconazole/C0024790,25
895,heparin/C0233763,43
896,ropinirole/C0035508,7
897,heparin/C0234215,516
898,meropenem/C0393593,1
899,ropinirole/C0085631,7
900,ropinirole/C0030193,9
901,lorazepam/C0030193,508
902,ropinirole/C0010200,10
903,miconazole/C1112182,1
904,fondaparinux/C0184567,2
905,ropinirole/C0019825,1
906,fentanyl/C0700590,36
907,fondaparinux/C0393593,1
908,lorazepam/C0184567,169
909,simvastatin/C0476273,69
910,midazolam/C0234369,18
911,metronidazole/C0033774,123
912,fondaparinux/C0553668,5
913,miconazole/C0030232,42
914,metoprolol/C0023380,437
915,midazolam/C0242429,25
916,midazolam/C1704212,9
917,potassium/C0233763,56
918,miconazole/C0019825,5
919,furosemide/C0015644,40
920,lansoprazole/C0023380,87
921,furosemide/C0023380,310
922,potassium/C0019825,32
923,acetaminophen/C0242429,69
924,acetaminophen/C0015644,108
925,miconazole/C0234215,66
926,simvastatin/C0024790,35
927,lansoprazole/C0233763,6
928,ropinirole/C0033774,5
929,midazolam/C0393593,1
930,acetaminophen/C0030232,174
931,tobramycin/C0033774,11
932,scopolamine/C0035508,8
933,lansoprazole/C0086439,128
934,fondaparinux/C0085631,2
935,lansoprazole/C0242429,12
936,miconazole/C0085631,97
937,ropinirole/C0004093,6
938,ropinirole/C0700590,3
